order_date,order_year,order_month,item_category,order_count,item_count,promo_item_count,cust_count,avg_item_revenue,avg_distance,average_item_rate,promo_item_percentage
2023-02-18,2023,2,"Cheese Crackers, Breadsticks & Dipping",9,9,0,8,2.67,4933,1.13,0
2023-02-18,2023,2,null,48,53,0,40,null,4544.77,1.33,0
2023-02-18,2023,2,Chocolate,38,39,0,32,2.32,4073.87,1.22,0
2023-02-18,2023,2,Other Confectionary,87,87,1,78,4.77,3150.08,1.12,0.01
2023-02-18,2023,2,Crisp & Snacks,73,79,0,62,3,3115.91,1.27,0
2023-02-18,2023,2,Chocolate & Sweet Spreads,4,4,0,4,3.91,4619.75,1,0
2023-02-18,2023,2,"Toffee, Fudge & Nougat",1,1,0,1,1.86,8380,1,0
2023-02-19,2023,2,Cookies,8,8,0,7,2.8,3384.25,1.14,0
2023-02-19,2023,2,Other Confectionary,64,64,0,60,4.42,4022.8,1.07,0
2023-02-19,2023,2,Crisp & Snacks,68,71,0,61,3.21,3611.55,1.16,0
2023-02-19,2023,2,Chocolate,26,26,0,20,2.33,2606.12,1.3,0
2023-02-19,2023,2,"Cheese Crackers, Breadsticks & Dipping",1,1,0,1,2.61,1651,1,0
2023-02-19,2023,2,null,48,55,0,42,null,3188.31,1.31,0
2023-02-19,2023,2,Chocolate & Sweet Spreads,4,4,0,4,4.23,2873.5,1,0
2023-02-20,2023,2,null,32,37,0,30,null,3677.32,1.23,0
2023-02-20,2023,2,Cookies,5,5,0,5,2.78,2606.6,1,0
2023-02-20,2023,2,"Cheese Crackers, Breadsticks & Dipping",4,4,2,4,2.44,4159,1,0.5
2023-02-20,2023,2,Chocolate & Sweet Spreads,4,4,0,4,4.23,3133,1,0
2023-02-20,2023,2,Crisp & Snacks,69,74,0,63,3.16,3287.46,1.17,0
2023-02-20,2023,2,Other Confectionary,41,41,0,41,4.73,3039.22,1,0
2023-02-20,2023,2,Chocolate,22,24,0,20,1.96,2586.71,1.2,0
2023-02-20,2023,2,"Toffee, Fudge & Nougat",2,2,0,2,4.7,5070,1,0
2023-02-21,2023,2,Chocolate,16,16,0,16,1.93,3463.06,1,0
2023-02-21,2023,2,Other Confectionary,40,40,0,36,5.51,2847.03,1.11,0
2023-02-21,2023,2,"Cheese Crackers, Breadsticks & Dipping",9,9,6,8,3.29,4036.44,1.13,0.67
2023-02-21,2023,2,Crisp & Snacks,142,151,4,121,3.06,3564.85,1.25,0.03
2023-02-21,2023,2,Cookies,9,10,0,8,2.07,1697.4,1.25,0
2023-02-21,2023,2,null,73,78,0,66,null,3560.73,1.18,0
2023-02-21,2023,2,Chocolate & Sweet Spreads,2,2,0,2,4.23,6420,1,0
2023-02-22,2023,2,Chocolate,37,44,0,34,2.42,3301.41,1.29,0
2023-02-22,2023,2,Crisp & Snacks,133,149,6,121,3.34,2784.81,1.23,0.04
2023-02-22,2023,2,Other Confectionary,36,36,0,35,6.4,2834.11,1.03,0
2023-02-22,2023,2,Cookies,4,4,0,4,1.94,1456.25,1,0
2023-02-22,2023,2,"Toffee, Fudge & Nougat",4,4,0,4,3.95,2612.5,1,0
2023-02-22,2023,2,null,67,73,0,60,null,3329.59,1.22,0
2023-02-22,2023,2,Chocolate & Sweet Spreads,2,2,0,2,2.45,8130,1,0
2023-02-22,2023,2,"Cheese Crackers, Breadsticks & Dipping",13,13,8,11,2.65,3120.85,1.18,0.62
2023-02-23,2023,2,"Cheese Crackers, Breadsticks & Dipping",8,8,4,7,2.44,1797.75,1.14,0.5
2023-02-23,2023,2,Other Confectionary,55,55,0,50,5.14,3279.22,1.1,0
2023-02-23,2023,2,Chocolate,31,34,0,29,2.97,3315.29,1.17,0
2023-02-23,2023,2,Crisp & Snacks,103,107,7,93,2.78,3569.75,1.15,0.07
2023-02-23,2023,2,null,54,57,0,51,null,3424.54,1.12,0
2023-02-23,2023,2,Cookies,6,6,0,5,2.29,3331,1.2,0
2023-02-23,2023,2,Chocolate & Sweet Spreads,3,3,0,3,3.93,6450,1,0
2023-02-23,2023,2,"Toffee, Fudge & Nougat",1,1,0,1,3.13,1149,1,0
2023-02-24,2023,2,Crisp & Snacks,56,63,4,52,3.01,3118.25,1.21,0.06
2023-02-24,2023,2,Other Confectionary,86,86,0,70,5.13,3064.69,1.23,0
2023-02-24,2023,2,null,39,50,0,28,null,2831.84,1.79,0
2023-02-24,2023,2,Cookies,6,7,0,5,2.75,3464.71,1.4,0
2023-02-24,2023,2,Chocolate,31,32,0,30,3.1,4063.81,1.07,0
2023-02-24,2023,2,Chocolate & Sweet Spreads,6,6,0,4,3.68,3579.83,1.5,0
2023-02-24,2023,2,"Cheese Crackers, Breadsticks & Dipping",3,3,1,3,2.38,1613.67,1,0.33
2023-02-25,2023,2,Cookies,8,9,0,8,2.23,3453.67,1.13,0
2023-02-25,2023,2,Chocolate & Sweet Spreads,1,1,0,1,3.59,1725,1,0
2023-02-25,2023,2,"Cheese Crackers, Breadsticks & Dipping",4,4,3,4,3.12,1999.75,1,0.75
2023-02-25,2023,2,Crisp & Snacks,81,90,4,72,2.89,3492.3,1.25,0.04
2023-02-25,2023,2,Chocolate,38,42,0,38,2.19,3044.74,1.11,0
2023-02-25,2023,2,Other Confectionary,91,92,0,84,4.25,3624.39,1.1,0
2023-02-25,2023,2,null,43,48,0,42,null,3420.46,1.14,0
2023-02-25,2023,2,"Toffee, Fudge & Nougat",1,1,0,1,1.92,1159,1,0
2023-02-26,2023,2,Crisp & Snacks,81,92,0,72,3.09,3123.88,1.28,0
2023-02-26,2023,2,Chocolate,33,35,0,32,2.34,4061.54,1.09,0
2023-02-26,2023,2,"Cheese Crackers, Breadsticks & Dipping",4,4,0,3,3.21,5250.5,1.33,0
2023-02-26,2023,2,Other Confectionary,68,68,0,63,5.21,3722.57,1.08,0
2023-02-26,2023,2,Cookies,5,5,0,5,3.17,3180,1,0
2023-02-26,2023,2,null,44,47,0,40,null,3210.74,1.18,0
2023-02-26,2023,2,"Toffee, Fudge & Nougat",3,3,0,2,2.56,2408,1.5,0
2023-02-26,2023,2,Chocolate & Sweet Spreads,9,9,0,9,3.22,2667.22,1,0
2023-02-27,2023,2,"Cheese Crackers, Breadsticks & Dipping",2,2,0,2,2.46,4836.5,1,0
2023-02-27,2023,2,Chocolate & Sweet Spreads,4,4,0,4,3.34,5587.5,1,0
2023-02-27,2023,2,Crisp & Snacks,75,83,0,67,3.48,2876.34,1.24,0
2023-02-27,2023,2,Other Confectionary,42,42,0,40,5.12,4933.29,1.05,0
2023-02-27,2023,2,null,27,28,0,26,null,4130.96,1.08,0
2023-02-27,2023,2,Chocolate,20,21,0,19,3,5504.33,1.11,0
2023-02-27,2023,2,Cookies,4,4,0,4,1.91,4585.5,1,0
2023-02-27,2023,2,"Toffee, Fudge & Nougat",1,1,0,1,1.92,7130,1,0
2023-02-28,2023,2,null,61,69,1,53,null,2930.81,1.3,0.01
2023-02-28,2023,2,"Cheese Crackers, Breadsticks & Dipping",14,14,0,14,2.94,3819.79,1,0
2023-02-28,2023,2,Crisp & Snacks,163,187,9,145,2.95,3266.81,1.29,0.05
2023-02-28,2023,2,Other Confectionary,48,48,0,40,5.17,4424.08,1.2,0
2023-02-28,2023,2,Chocolate & Sweet Spreads,2,2,0,1,3.59,1529,2,0
2023-02-28,2023,2,Chocolate,18,21,0,17,2.72,5205.62,1.24,0
2023-02-28,2023,2,Cookies,3,3,0,3,1.93,3609.67,1,0
2023-02-28,2023,2,"Toffee, Fudge & Nougat",4,4,0,4,3.73,2642.25,1,0
2023-03-01,2023,3,Crisp & Snacks,149,169,3,136,2.95,3111.63,1.24,0.02
2023-03-01,2023,3,Cookies,4,4,0,4,1.82,4008.25,1,0
2023-03-01,2023,3,Chocolate & Sweet Spreads,2,2,0,2,4.86,4549.5,1,0
2023-03-01,2023,3,Other Confectionary,28,28,0,26,4.14,4747.04,1.08,0
2023-03-01,2023,3,Chocolate,9,10,0,9,1.89,3728.9,1.11,0
2023-03-01,2023,3,"Cheese Crackers, Breadsticks & Dipping",12,13,0,12,2.47,2503.92,1.08,0
2023-03-01,2023,3,null,54,57,0,49,null,3750,1.16,0
